"ActivityType","StartTime","EndTime","AltitudeAvg","AltitudeMin","AltitudeMax","Ascent","Descent","Distance","Duration","HrAvg","HrMin","Calories","SpeedAvg"
"Biking",2020-06-12 17:28:50,2020-06-12 18:32:36,49.2890396516358,43.5999984741211,56.7999992370605,281.400054931641,283.200054168701,26374.24,3826,148.495302713987,94,760,24.8163261892316
"Biking",2020-06-13 12:52:30,2020-06-13 15:50:10,51.8931780061854,41,77.5999984741211,708.199996948242,691.199996948242,54350.44,10660,125.471986417657,69,1255,18.3547452157599
"Other",2020-06-15 16:32:11,2020-06-15 18:21:44,117.177365848472,89.1999969482422,142.800003051758,697.00016784668,694.800170898438,29805.31,6573,151.227811550152,96,1236,16.3242227293473
"Running",2020-06-16 17:50:00,2020-06-16 19:00:25,132.326629150578,126.599998474121,151.600006103516,289.999816894531,288.799819946289,10295.83,4225,140.264400377715,84,732,8.77277822485207
"Other",2020-06-17 14:38:34,2020-06-17 16:24:53,123.264067690975,99.4000015258789,146.800003051758,560.000038146973,555.400032043457,28303.65,6379,153.761114797611,88,1239,15.973215237498
"Other",2020-06-17 17:44:19,2020-06-17 17:59:30,125.770256864108,104.199996948242,143.600006103516,0,0,348.56,911,127.970588235294,105,81,1.37740504939627
"Other",2020-06-20 15:32:47,2020-06-20 16:46:30,82.7721507426068,57.5999984741211,93.8000030517578,405.399856567383,403.199855804443,21004.71,4423,159.911884319928,74,973,17.0963047705177
"Biking",2020-06-23 16:19:17,2020-06-23 18:16:23,122.148521943822,92.5999984741211,151.199996948242,736.000183105469,738.600173950195,47763.88,7026,146.909891984082,74,1245,24.4733800170794
"Running",2020-06-23 19:10:06,2020-06-23 19:57:19,130.619474746761,122.800003051758,138.199996948242,24.400032043457,24.400032043457,4876.56,2833,126.724719101124,69,413,6.19682880338863
"Biking",2020-06-24 15:32:26,2020-06-24 16:00:52,122.141221650684,113.199996948242,136.399993896484,47.9999771118164,52.5999755859375,9360.86,1706,112.546637744035,81,232,19.7532801875733
"Biking",2020-06-24 18:08:17,2020-06-24 18:23:11,124.890683262985,106.599998474121,135.199996948242,35.6000061035156,42.8000030517578,6334.37,894,119.409937888199,83,136,25.5075302013423
